feature,importance
concave points_mean,0.14426589985789856
perimeter_worst,0.1406022185446367
area_worst,0.13161612074211956
radius_worst,0.11035414966999817
concave points_worst,0.10371774626664174
perimeter_mean,0.06310832245468337
concavity_mean,0.06033181390429805
area_mean,0.06026847842992076
radius_mean,0.050907915368938815
concavity_worst,0.04436792392879396
area_se,0.0285202979024756
radius_se,0.017250158740891124
compactness_mean,0.01620814645547468
compactness_worst,0.014900127799701023
perimeter_se,0.013580679933527857
